지점번호,지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자
108,서울,1981,11.2,15.8,35.2,1981-07-31,7.2,-16.5,1981-01-04
108,서울,1982,12.5,17.4,35.5,1982-08-11,8.3,-14.1,1982-01-29
108,서울,1983,12.4,16.9,34.3,1983-08-05,8.3,-13.9,1983-01-09
108,서울,1984,11.6,16.5,35.2,1984-08-10,7.6,-15.1,1984-02-06
108,서울,1985,11.6,16.2,35.4,1985-07-29,7.7,-16.7,1985-01-14
108,서울,1986,11.2,15.7,32.8,1986-08-01,7.4,-19.2,1986-01-05
108,서울,1987,11.9,16.4,31.6,1987-08-14,7.9,-15.1,1987-01-14
108,서울,1988,12.1,16.8,36.6,1988-08-10,8.0,-12.9,1988-02-03
108,서울,1989,13.0,17.5,35.3,1989-08-05,9.0,-11.2,1989-01-28
108,서울,1990,12.8,17.1,35.5,1990-08-07,9.0,-17.1,1990-01-25
108,서울,1991,12.3,17.0,34.7,1991-08-20,8.2,-15.0,1991-02-23
108,서울,1992,12.5,16.9,32.8,1992-08-29,8.5,-9.7,1992-12-23
108,서울,1993,12.0,16.7,31.9,1993-05-29,8.1,-11.2,1993-12-15
108,서울,1994,13.5,18.3,38.4,1994-07-24,9.5,-12.6,1994-12-16
108,서울,1995,12.2,16.7,33.7,1995-08-15,8.2,-11.1,1995-01-30
108,서울,1996,12.2,16.8,35.4,1996-08-01,8.3,-13.8,1996-02-02
108,서울,1997,12.9,17.7,36.1,1997-07-26,8.7,-13.7,1997-01-22
108,서울,1998,13.8,18.4,32.8,1998-09-12,9.8,-15.4,1998-01-24
108,서울,1999,13.2,17.8,35.4,1999-08-17,9.0,-12.3,1999-02-03
108,서울,2000,12.7,17.1,35.1,2000-08-02,8.6,-12.1,2000-01-07
108,서울,2001,12.8,17.3,35.3,2001-08-17,8.9,-18.6,2001-01-15
108,서울,2002,12.9,17.2,34.8,2002-07-28,9.1,-12.0,2002-01-03
108,서울,2003,12.8,17.0,32.2,2003-08-05,9.2,-15.5,2003-01-05
108,서울,2004,13.3,17.7,36.2,2004-08-10,9.5,-16.7,2004-01-22
108,서울,2005,12.1,16.4,35.0,2005-08-06,8.4,-14.0,2005-12-18
108,서울,2006,13.0,17.2,34.7,2006-08-04,9.3,-14.1,2006-02-03
108,서울,2007,13.3,17.5,33.2,2007-08-23,9.7,-8.6,2007-02-02
108,서울,2008,12.9,17.3,35.4,2008-08-08,9.1,-13.1,2008-12-06
108,서울,2009,12.9,17.2,34.4,2009-08-16,9.1,-12.9,2009-12-31
108,서울,2010,12.1,16.3,33.8,2010-08-05,8.5,-15.3,2010-01-13
108,서울,2011,12.0,16.4,34.1,2011-08-05,8.4,-17.8,2011-01-16
108,서울,2012,12.2,16.7,36.7,2012-08-05,8.5,-17.1,2012-02-02
108,서울,2013,12.5,16.9,33.9,2013-08-21,8.7,-16.4,2013-01-03
108,서울,2014,13.4,18.3,35.8,2014-08-02,9.3,-13.2,2014-12-18
108,서울,2015,13.6,18.7,36.0,2015-07-11,9.3,-13.0,2015-02-09
108,서울,2016,13.6,18.5,36.6,2016-08-21,9.4,-18.0,2016-01-24
108,서울,2017,13.0,18.1,35.4,2017-07-25,8.8,-12.6,2017-01-23
108,서울,2018,12.9,17.9,39.6,2018-08-01,8.8,-17.8,2018-01-26
108,서울,2019,13.5,18.5,36.8,2019-08-06,9.3,-10.9,2019-12-31
108,서울,2020,13.2,17.9,35.4,2020-06-22,9.4,-12.9,2020-12-31
108,서울,2021,13.7,18.5,36.5,2021-07-24,9.6,-18.6,2021-01-08
108,서울,2022,13.2,18.0,36.1,2022-07-30,9.2,-13.7,2022-12-23
108,서울,2023,,,35.8,2023-08-08,,-17.3,2023-01-25
