"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202310","6호선","봉화산(서울의료원)","16","1","5554","939","15263","2906","47231","5953","39539","13083","20785","8085","15874","6643","13666","6872","13426","8381","12131","10134","10683","10245","10343","13624","11654","16309","12504","21669","11094","31418","5489","29417","4214","17474","3591","14425","2946","14173","1158","8520","142","2888","1","200","0","0","0","0","20231103"
"202310","6호선","불광","33","1","1752","649","4211","1955","11546","4111","13797","7880","8259","7648","6756","6363","7248","6551","8135","6484","8598","7748","9141","7429","10306","8369","11256","9190","10644","10666","10069","14835","5746","11535","4864","6609","4001","5908","2157","5670","972","3530","130","1089","0","0","1","1","0","0","20231103"
"202310","6호선","삼각지","3","1","1504","864","3221","6236","8412","14681","13615","27193","10211","12497","8136","9501","9444","9385","10747","9692","12704","10139","12991","9291","14999","9801","18533","10587","23863","12679","29918","16087","13758","10231","11159","7437","11674","6591","9252","7245","5227","4956","628","1266","0","0","0","0","0","0","20231103"
"202310","6호선","상수","70","1","5503","1187","6934","3224","10222","6765","14060","25418","10301","32395","8178","21381","8809","18844","12275","21846","15116","23695","15413","20599","17543","19027","21759","22217","28198","27707","31496","36090","22531","24504","21217","15610","23462","13166","22757","12087","16714","9479","2674","2587","0","0","0","0","0","0","20231103"
"202310","6호선","상월곡(한국과학기술연구원)","23","1","5470","564","9225","2435","23920","3714","28248","14613","15738","9663","11009","9937","10649","8304","10435","7168","10798","8022","9977","7629","8837","9001","11565","11475","10213","13906","9765","19916","6222","17185","3796","10441","4875","10098","2740","9089","1563","6576","142","1767","0","0","0","0","0","0","20231103"
"202310","6호선","새절(신사)","4","0","11840","762","20519","4611","53198","8526","61528","15562","33543","12331","22489","10017","20404","11664","20672","13012","19508","15768","16989","15277","17046","20241","20587","24294","17604","31281","15602","48402","9951","40111","6450","24010","5454","21018","3861","19626","1832","12517","251","4058","0","9","0","0","0","0","20231103"
"202310","6호선","석계","1171","4","8768","1849","18933","5370","48511","8319","53282","15957","29990","11774","21834","11024","18982","13285","20178","14339","19335","15727","17092","16291","16524","20978","17254","27651","17677","33882","15852","51784","11664","43044","8246","24964","7152","22739","6447","20244","3838","13111","627","4173","1","11","0","0","0","0","20231103"
"202310","6호선","신내","0","0","0","0","0","0","0","0","2","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20231103"
"202310","6호선","신당","123","2","5786","1134","5212","7352","7712","14545","12232","35734","10108","21823","8922","13614","10421","12176","12990","12099","12353","12959","12983","10618","14835","10182","19156","12477","23835","15105","26680","21358","16659","20558","14819","11397","14050","9361","18495","9203","7743","9700","1396","2321","1","4","0","0","0","0","20231103"
"202310","6호선","안암(고대병원앞)","11","0","2052","1476","3406","6785","9536","17582","12648","50518","11376","36007","13630","38947","16808","23222","18458","20031","20224","25594","23980","20812","25872","15720","38752","15210","49241","18156","36396","25099","21340","17619","19174","12447","20053","12981","18417","13248","12188","9274","2099","3437","0","95","0","0","0","0","20231103"
